Game,Middle_Game_Start,End_Game_Start
1,42,113.0
2,65,
3,53,229.0
4,59,203.0
5,72,187.0
6,44,143.0
7,63,163.0
8,43,
9,35,
10,57,159.0
11,57,208.0
12,37,238.0
13,61,129.0
14,44,
15,43,201.0
16,35,197.0
17,25,
18,60,258.0
19,47,169.0
20,34,170.0
21,40,170.0
22,68,114.0
23,27,129.0
24,34,179.0
25,29,
26,35,166.0
27,18,
28,33,220.0
29,43,179.0
30,43,166.0
31,41,146.0
32,61,282.0
33,44,
34,31,160.0
35,50,143.0
36,25,152.0
37,62,138.0
38,45,235.0
39,39,159.0
40,57,192.0
41,42,137.0
42,26,177.0
43,31,
44,42,148.0
45,50,123.0
46,38,161.0
47,28,168.0
48,39,
49,29,165.0
50,31,149.0
51,33,179.0
52,24,141.0
53,33,
54,43,
55,55,170.0
56,47,159.0
57,19,145.0
58,48,
59,27,
60,48,184.0
61,33,166.0
62,17,154.0
63,30,138.0
64,19,158.0
65,36,199.0
66,23,138.0
67,23,
68,40,136.0
69,30,
70,28,260.0
71,25,188.0
72,27,191.0
73,27,
74,37,114.0
75,28,260.0
76,44,282.0
77,39,160.0
78,34,176.0
79,23,252.0
80,32,143.0
81,34,176.0
82,71,
83,53,156.0
84,31,
85,42,235.0
86,23,
87,21,220.0
88,38,
89,14,
90,23,
91,23,252.0
92,38,
93,36,
94,39,160.0
95,23,
96,22,120.0
97,25,
98,53,142.0
99,14,
100,21,220.0
101,14,
102,31,133.0
103,20,136.0
104,28,
105,37,
106,24,157.0
107,36,
108,52,
109,27,169.0
110,19,
111,24,152.0
112,38,150.0
113,28,154.0
114,38,173.0
115,35,
116,33,
117,33,
118,37,193.0
119,28,
120,38,
121,44,233.0
122,32,
123,35,
124,35,168.0
125,36,197.0
126,31,
127,36,140.0
128,34,
129,27,169.0
130,26,152.0
131,27,
132,29,126.0
133,22,
134,36,
135,25,
136,38,
137,28,
138,36,187.0
139,39,
140,21,
141,26,152.0
142,31,186.0
143,32,
144,35,
145,36,140.0
146,36,140.0
147,31,
148,35,
149,38,173.0
150,33,
151,38,
152,35,
153,36,197.0
154,19,
155,36,187.0
156,24,152.0
157,28,154.0
158,33,
159,29,126.0
160,28,
161,38,
162,18,
163,30,164.0
164,27,
165,33,214.0
166,27,
167,30,164.0
168,21,
169,15,191.0
170,36,176.0
171,27,174.0
172,33,214.0
173,27,
174,33,
175,15,191.0
176,21,
177,27,
178,15,191.0
179,27,174.0
180,40,
181,23,152.0
182,37,159.0
183,36,176.0
184,33,
185,33,214.0
186,37,164.0
187,19,
188,27,158.0
189,41,128.0
190,47,171.0
191,61,
192,31,
193,35,
194,38,
195,32,
196,30,118.0
197,33,192.0
198,27,204.0
199,44,233.0
200,41,
